flags	build_time	runtime
"-Cllvm-args=--inline-threshold=50"	20.00243306159973	37.64332056045532
"-Cllvm-args=--inline-threshold=250"	21.08101534843445	36.684664487838745
"-Cllvm-args=--inline-threshold=100000"	29.396360397338867	36.767340660095215
"-Ccodegen-units=1"	32.63978695869446	36.35973644256592
"-Ccodegen-units=16"	21.24839162826538	36.728376388549805
"-Ccodegen-units=256"	23.255797624588013	36.49628281593323
"-Cdebuginfo=0"	21.135228872299194	36.831356048583984
"-Cdebuginfo=1"	21.942551612854004	37.20683026313782
"-Cdebuginfo=2"	26.069993257522583	36.35290336608887
"-Cdebug-assertions=yes"	22.250389337539673	43.22862529754639
"-Copt-level=1"	25.583181142807007	39.9830482006073
"-Copt-level=2"	29.43557381629944	37.48909783363342
"-Copt-level=3"	30.344249725341797	37.02788162231445
"-Cpanic=abort"	20.039296865463257	36.426995277404785
"-Cstrip=debuginfo"	21.474615335464478	36.72675275802612
"-Cstrip=symbols"	21.157572269439697	37.057066679000854
"-Ccode-model=small"	21.429631233215332	36.928218126297
"-Ccode-model=medium"	21.651893138885498	37.356581926345825
"-Ccode-model=large"	21.68098211288452	36.75229287147522
default	20.94833779335022	36.37645936012268
"-Coverflow-checks=yes"	21.43893265724182	41.0073025226593
"-Ctarget-cpu=x86-64"	22.8175528049469	36.35334897041321
"-Ctarget-cpu=x86-64-v2"	22.610639333724976	36.12742590904236
"-Ctarget-cpu=x86-64-v3"	21.42368483543396	34.99235558509827
"-Ctarget-cpu=x86-64-v4"	21.16863512992859	34.35231947898865
"-Ctarget-cpu=native"	22.983115911483765	34.97086572647095
"-Cllvm-args=--inline-threshold=5"	19.757712841033936	37.11886143684387
"-Cllvm-args=--inline-threshold=50"	20.480753421783447	36.83258557319641
"-Cllvm-args=--inline-threshold=250"	21.181060552597046	35.999802350997925
"-Cllvm-args=--inline-threshold=100000"	29.47658944129944	35.477916955947876
"-Ccodegen-units=1"	32.63255858421326	35.04946160316467
"-Ccodegen-units=16"	21.91356897354126	35.38970184326172
"-Ccodegen-units=256"	21.91572618484497	35.485620737075806
"-Cdebuginfo=0"	20.731053590774536	35.49731492996216
"-Cdebuginfo=1"	23.359981060028076	35.77152681350708
"-Cdebuginfo=2"	25.428873538970947	35.66857194900513
"-Cdebug-assertions=yes"	23.789745330810547	42.524014711380005
"-Copt-level=1"	23.652026176452637	39.41597557067871
"-Copt-level=2"	30.206573009490967	37.16371440887451
"-Copt-level=3"	30.29630184173584	35.53742742538452
